timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1539225642007,647,1 - Get all the users details,200,OK,Thread Group 1-1,text,true,,979,180,1,1,https://reqres.in/api/users?page=2,647,0,237
1539225642658,563,2 - Add a new user with job leader,201,Created,Thread Group 1-1,text,true,,623,212,1,1,https://reqres.in/api/users,563,0,157
1539225643222,583,3 - Get the second  user details,200,OK,Thread Group 1-1,text,true,,672,175,1,1,https://reqres.in/api/users/2,583,0,171
1539225643807,592,4 - Update the second user details with new job,200,OK,Thread Group 1-1,text,true,,614,219,1,1,https://reqres.in/api/users/2,592,0,189
1539225644401,591,1 - Get all the users details,200,OK,Thread Group 1-1,text,true,,979,180,1,1,https://reqres.in/api/users?page=2,591,0,171
1539225651985,592,2 - Add a new user with job leader,201,Created,Thread Group 1-2,text,true,,623,212,1,1,https://reqres.in/api/users,592,0,165
1539225652580,579,3 - Get the second  user details,200,OK,Thread Group 1-2,text,true,,672,175,1,1,https://reqres.in/api/users/2,579,0,169
1539225653162,602,4 - Update the second user details with new job,200,OK,Thread Group 1-2,text,true,,614,219,1,1,https://reqres.in/api/users/2,602,0,197
1539225653766,586,1 - Get all the users details,200,OK,Thread Group 1-2,text,true,,979,180,1,1,https://reqres.in/api/users?page=2,586,0,177
1539225654355,577,2 - Add a new user with job leader,201,Created,Thread Group 1-2,text,true,,623,212,1,1,https://reqres.in/api/users,577,0,171
1539225661985,595,3 - Get the second  user details,200,OK,Thread Group 1-3,text,true,,672,175,1,1,https://reqres.in/api/users/2,595,0,186
1539225662582,614,4 - Update the second user details with new job,200,OK,Thread Group 1-3,text,true,,614,219,1,1,https://reqres.in/api/users/2,614,0,187
1539225663198,636,1 - Get all the users details,200,OK,Thread Group 1-3,text,true,,979,180,1,1,https://reqres.in/api/users?page=2,636,0,200
1539225663842,627,2 - Add a new user with job leader,201,Created,Thread Group 1-3,text,true,,623,212,1,1,https://reqres.in/api/users,627,0,222
1539225664471,645,3 - Get the second  user details,200,OK,Thread Group 1-3,text,true,,672,175,1,1,https://reqres.in/api/users/2,645,0,192
1539225671983,599,4 - Update the second user details with new job,200,OK,Thread Group 1-4,text,true,,614,219,1,1,https://reqres.in/api/users/2,599,0,194
1539225672585,557,1 - Get all the users details,200,OK,Thread Group 1-4,text,true,,979,180,1,1,https://reqres.in/api/users?page=2,557,0,154
1539225673143,405,2 - Add a new user with job leader,201,Created,Thread Group 1-4,text,true,,623,212,1,1,https://reqres.in/api/users,405,0,177
1539225673550,703,3 - Get the second  user details,200,OK,Thread Group 1-4,text,true,,672,175,1,1,https://reqres.in/api/users/2,703,0,264
1539225674255,618,4 - Update the second user details with new job,200,OK,Thread Group 1-4,text,true,,614,219,1,1,https://reqres.in/api/users/2,618,0,180
1539225681983,437,1 - Get all the users details,200,OK,Thread Group 1-5,text,true,,979,180,1,1,https://reqres.in/api/users?page=2,437,0,202
1539225682422,581,2 - Add a new user with job leader,201,Created,Thread Group 1-5,text,true,,623,212,1,1,https://reqres.in/api/users,581,0,171
1539225683005,413,3 - Get the second  user details,200,OK,Thread Group 1-5,text,true,,672,175,1,1,https://reqres.in/api/users/2,413,0,176
1539225683423,594,4 - Update the second user details with new job,200,OK,Thread Group 1-5,text,true,,614,219,1,1,https://reqres.in/api/users/2,593,0,164
1539225684019,418,1 - Get all the users details,200,OK,Thread Group 1-5,text,true,,979,180,1,1,https://reqres.in/api/users?page=2,418,0,178
1539226082815,458,1 - Get all the users details,200,OK,Thread Group 1-1,text,true,,979,180,1,1,https://reqres.in/api/users?page=2,458,0,227
